STATION,NAME,DATE,AWND,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10
USW00014732,"LAGUARDIA AIRPORT, NY US",2/12/2019,15.21,,0.7,,1.5,0,31,35,26,60,50,25.1,31.1,1,,,1,,1,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",2/13/2019,15.88,,0.06,,0,1.2,37,42,33,280,270,33.1,42.9,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",2/14/2019,11.63,,0,,0,0,37,46,33,270,270,23.9,31.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",2/15/2019,9.4,,0,,0,0,46,56,41,320,320,23.9,30,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",2/16/2019,14.99,,0,,0,0,42,46,32,330,330,25.1,30,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",2/17/2019,9.17,,0.04,,0,0,32,37,26,30,360,16.1,19.9,,,,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",2/18/2019,14.09,,0.1,,0,0,36,42,26,300,310,31.1,38,1,,,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",2/19/2019,13.42,,0,,0,0,29,36,24,310,310,23,29.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",2/20/2019,8.05,,0.59,,1.4,0,29,32,26,40,50,16.1,19.9,1,1,,,,1,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",2/21/2019,9.62,,0.14,,0,0,38,52,32,310,320,19.9,25.1,1,,,,,1,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",2/22/2019,12.97,,0,,0,0,42,43,37,310,320,25.1,30,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",2/23/2019,7.83,,0,,0,0,36,39,32,40,50,12.1,13,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",2/24/2019,15.66,,0.73,,0,0,39,47,35,270,270,38.9,55,1,1,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",2/25/2019,27.07,,0,,0,0,41,43,28,270,270,42.9,57.9,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",2/26/2019,17.67,,0,,0,0,30,37,25,290,280,31.1,40,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",2/27/2019,9.84,,0,,0,0,26,29,23,320,320,21,25.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",2/28/2019,11.41,,0.03,,0.1,0,30,36,26,320,320,23.9,28,1,,,,,1,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/1/2019,11.63,,0.1,,1.2,1.2,30,36,25,60,60,17,23,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/2/2019,8.5,,0.45,,3.8,3.1,34,41,30,50,50,18.1,21.9,1,,,1,1,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/3/2019,8.72,,0.51,,2.5,0,38,43,32,40,40,17,21,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/4/2019,14.32,,0.35,,2.3,3.9,34,39,28,310,300,21.9,28,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/5/2019,13.87,,0,,0,2,27,32,21,310,300,23.9,30,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/6/2019,16.33,,0,,0,0,24,27,19,320,270,25.9,35.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/7/2019,12.3,,0,,0,0,24,33,19,270,280,21.9,28,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/8/2019,5.82,,0,,0,0,30,38,24,170,170,14.1,19,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/9/2019,7.38,,0,,0,0,39,47,34,160,130,13,16.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/10/2019,12.3,,0.66,,0.1,0,38,44,34,40,90,23.9,30,1,1,,1,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/11/2019,16.55,,0,,0,0,45,53,39,330,330,31.1,38,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/12/2019,16.33,,0,,0,0,40,43,34,310,290,28,38,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/13/2019,8.05,,0,,0,0,38,46,32,190,190,17,21,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/14/2019,11.18,,0,,0,0,46,57,41,170,170,21,28,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/15/2019,11.63,,0.27,,0,0,55,72,48,230,240,23.9,32,1,,1,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/16/2019,18.79,,0,,0,0,51,59,37,300,280,25.9,36,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/17/2019,12.75,,0,,0,0,39,45,34,300,290,23,27.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/18/2019,6.71,,0,,0,0,38,46,33,300,300,17,21,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/19/2019,7.61,,0,,0,0,42,49,36,310,280,16.1,23.9,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/20/2019,9.84,,0,,0,0,44,51,37,170,170,19.9,30,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/21/2019,14.76,,0.69,,0,0,42,45,40,50,50,32,38,1,,,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/22/2019,22.59,,0.53,,0,0,43,49,38,290,290,35.1,45,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/23/2019,21.92,,0,,0,0,41,48,35,290,290,36,47,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/24/2019,11.63,,0,,0,0,47,60,38,240,260,21,30,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/25/2019,9.4,,0,,0,0,53,58,42,270,270,19.9,31.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",3/26/2019,12.08,,0,,0,0,42,48,33,360,40,19.9,27.1,,,,,,,,,,
