STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/4/2019,3.8,,0,0,0,55,67,44,180,200,8.9,11,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/5/2019,4.47,,0,0,0,62,74,55,200,200,13,15,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/6/2019,7.38,,0.1,0,0,64,71,59,210,220,14.1,17,1,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/7/2019,10.74,,0,0,0,69,80,62,210,210,21.9,28,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/8/2019,15.43,,0.01,0,0,59,67,42,310,350,25.9,32,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/9/2019,10.51,,0,0,0,44,54,38,320,350,21.9,31.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/10/2019,12.3,,0.09,0,0,42,44,37,80,60,19.9,23.9,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/11/2019,4.92,,0.03,0,0,42,56,37,100,100,10.1,13,1,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/12/2019,11.41,,0.48,0,0,58,71,47,320,310,25.1,33.1,1,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/13/2019,11.41,,0,0,0,47,56,36,320,340,21.9,30,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/14/2019,6.49,,0,0,0,48,64,36,180,170,15,19.9,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/15/2019,7.83,,0.26,0,0,55,60,52,220,200,14.1,19.9,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/16/2019,10.51,,0.12,0,0,59,63,49,330,230,23,28,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/17/2019,10.07,,0.08,0,0,50,50,47,350,70,16.1,23,1,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/18/2019,11.41,,0.06,0,0,51,60,46,350,360,23,29.1,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/19/2019,15.66,,0.77,0,0,46,49,38,110,100,25.9,34,1,,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/20/2019,12.53,,1.25,0,0,41,45,39,110,120,21,29.1,1,1,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/21/2019,5.14,,0.21,0,0,49,65,43,320,290,18.1,23.9,1,1,1,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/22/2019,8.5,,0,0,0,58,71,51,60,30,21,25.1,1,1,,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/23/2019,11.86,,0,0,0,50,51,48,80,110,18.1,21.9,1,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/24/2019,13.87,,0.31,0,0,55,64,45,310,300,30,38.9,1,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/25/2019,8.95,,0,0,0,50,63,40,10,10,19.9,28,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/26/2019,5.59,,0,0,0,55,66,47,180,180,14.1,17,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/27/2019,3.8,,0.01,0,0,60,69,57,250,260,10.1,13,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/28/2019,4.92,,0.32,0,0,60,65,57,190,170,10.1,14.1,1,,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/1/2019,8.72,,0,0,0,62,69,58,240,240,16.1,21.9,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/2/2019,7.16,,0,0,0,59,66,51,310,310,14.1,16.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/3/2019,7.61,,1.13,0,0,58,63,43,310,310,23.9,31.1,1,,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/4/2019,16.78,,0,0,0,42,44,34,320,330,28,34,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/5/2019,15.66,,0,0,0,35,45,27,300,320,25.1,33.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/6/2019,11.18,,0,0,0,35,47,27,330,320,21,29.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/7/2019,5.59,,0,0,0,42,60,31,230,230,12.1,17,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/8/2019,6.93,,0.01,0,0,56,69,50,50,200,16.1,21,,,,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/9/2019,9.62,,0,0,0,59,75,50,170,190,19.9,28,1,,,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/10/2019,6.49,,0.01,0,0,65,73,57,320,330,17,21,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/11/2019,7.61,,0.06,0,0,60,69,50,300,310,17,19.9,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/12/2019,6.04,,0,0,0,57,74,46,40,40,12.1,14.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/13/2019,10.07,,0,0,0,61,70,52,130,150,18.1,23.9,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/14/2019,12.3,,0.01,0,0,64,76,57,180,190,23,30,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/15/2019,10.74,,0.47,0,0,65,70,51,320,310,21,25.9,1,,1,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/16/2019,12.75,,0,0,0,49,52,43,340,310,23.9,28,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/17/2019,7.38,,0,0,0,50,63,42,320,330,17,21.9,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/18/2019,10.96,,0,0,0,51,60,41,350,360,23.9,30,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/19/2019,10.51,,0,0,0,49,58,40,80,90,23.9,31.1,,,,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/20/2019,5.59,,0,0,0,50,63,41,70,,13,,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/21/2019,11.86,,0,0,0,53,61,46,290,290,25.9,33.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/22/2019,13.65,,0,0,0,52,66,40,330,330,23.9,30,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",3/23/2019,5.14,,0,0,0,57,73,43,340,340,13,15,,,,,,,,,
