STATION,NAME,DATE,AWND,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/16/2019,9.62,,0.07,,0,0,57,60,54,,30,20,,17,21.9,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/17/2019,7.61,,0,,0,0,59,67,55,,20,40,,12.1,17,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/18/2019,4.25,,0,,0,0,64,78,54,,110,100,,10.1,16.1,1,1,,,,,1,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/19/2019,9.4,,0.18,,0,0,67,72,56,,360,10,,19.9,23.9,1,,,,,,1,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/20/2019,9.84,,0.28,,0,0,60,71,54,,360,350,,17,23,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/21/2019,7.16,,0,,0,0,63,72,52,,40,40,,17,21.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/22/2019,10.29,,0,,0,0,67,79,58,,100,100,,23.9,31.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/23/2019,10.29,,0.38,,0,0,73,81,63,,160,180,,18.1,29.1,1,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/24/2019,9.62,,0.17,,0,0,71,78,66,,260,280,,23.9,38,1,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/25/2019,11.18,,0.14,,0,0,72,85,62,,250,250,,25.1,48.1,,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/26/2019,5.82,,0.15,,0,0,78,89,68,,40,320,,14.1,19.9,,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/27/2019,7.61,,0.02,,0,0,77,89,68,,320,330,,29.1,38,,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/28/2019,7.61,,0.01,,0,0,76,90,71,,10,360,,21.9,29.1,,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/29/2019,5.14,,0,,0,0,78,87,69,,70,80,,12.1,18.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/30/2019,5.82,,0.2,,0,0,78,91,70,,350,350,,46.1,59.9,1,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/1/2019,6.26,,0,,0,0,77,89,69,,300,280,,16.1,25.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/2/2019,9.84,,0.01,,0,0,84,92,74,,40,40,,23,29.1,,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/3/2019,6.71,,0.41,,0,0,78,86,69,,230,260,,14.1,19.9,1,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/4/2019,8.28,,0,,0,0,78,91,70,,210,230,,16.1,21.9,1,,,,,,1,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/5/2019,6.04,,0.47,,0,0,81,91,73,,230,250,,30,42.1,,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/6/2019,12.53,,0,,0,0,78,83,67,,20,10,,25.9,33.1,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/7/2019,13.87,,0,,0,0,70,77,64,,10,20,,19.9,25.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/8/2019,6.71,,0,,0,0,71,83,60,,50,40,,14.1,19,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/9/2019,7.16,,0,,0,0,74,88,61,,180,150,,14.1,25.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/10/2019,10.51,,0.01,,0,0,83,94,75,,260,280,,19.9,28,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/11/2019,8.05,,0,,0,0,78,82,65,,20,20,,16.1,21.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/12/2019,6.04,,0,,0,0,72,87,59,,220,220,,15,19.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/13/2019,9.62,,0,,0,0,82,94,72,,30,240,,18.1,23,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/14/2019,6.49,,0,,0,0,79,91,70,,80,70,,15,21,,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/15/2019,11.63,,0,,0,0,81,92,74,,190,180,,25.1,35.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/16/2019,6.49,,0.05,,0,0,77,82,71,,170,160,,15,21,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/17/2019,5.37,,0.47,,0,0,80,92,74,,190,180,,25.9,40.9,1,,1,,,,1,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/18/2019,10.96,,1.36,,0,0,77,87,71,,200,200,,25.1,38.9,1,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/19/2019,11.86,,0,,0,0,85,93,81,,210,210,,18.1,25.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/20/2019,11.63,,0.08,,0,0,85,95,73,,10,350,,32,40.9,1,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/21/2019,12.3,,0.76,,0,0,74,79,67,,30,20,,23,27.1,1,,1,,,,1,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/22/2019,12.75,,0,,0,0,70,75,62,,30,30,,25.1,35.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/23/2019,7.61,,0,,0,0,70,80,62,,360,320,,17,23,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/24/2019,5.14,,0,,0,0,71,81,62,,60,60,,13,18.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/25/2019,4.92,,0,,0,0,73,85,63,,170,150,,12.1,16.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/26/2019,9.4,,0,,0,0,76,85,67,,170,200,,17,23,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/27/2019,13.65,,0,,0,0,80,89,71,,230,200,,23,34,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/28/2019,11.41,,0,,0,0,81,89,73,,220,210,,21,28,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/29/2019,8.05,,0.32,,0,0,77,82,70,,330,310,,28,36.9,1,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/30/2019,7.83,,0,,0,0,73,78,65,,60,40,,16.1,23.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/31/2019,8.95,,0,,0,0,69,76,59,,30,40,,17,29.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/1/2019,6.93,,0,,0,0,69,80,57,,30,50,,14.1,19.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/2/2019,5.37,,0,,0,0,72,83,61,,80,80,,13,19,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/3/2019,3.8,,0,,0,0,75,89,63,,10,360,,12.1,14.1,,,,,,,1,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/4/2019,4.7,,0,,0,0,79,89,70,,60,80,,14.1,19,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/5/2019,8.28,,0,,0,0,79,90,70,,330,320,,23,32,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/6/2019,6.71,,0.01,,0,0,76,85,67,,310,300,,16.1,23,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/7/2019,7.83,,0,,0,0,77,88,66,,270,250,,17,23,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/8/2019,10.07,,0.01,,0,0,79,87,67,,360,320,,21.9,30,,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/9/2019,5.82,,0,,0,0,73,83,62,,290,330,,14.1,21.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/10/2019,5.37,,0,,0,0,74,86,67,,110,80,,15,19,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/11/2019,7.38,,0,,0,0,74,82,67,,190,190,,15,21.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/12/2019,4.92,,0.5,,0,0,76,84,71,,90,80,,14.1,18.1,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/13/2019,6.71,,0.19,,0,0,75,86,67,,30,30,,19.9,25.1,1,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/14/2019,7.16,,0,,0,0,72,83,66,,20,20,,19.9,25.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/15/2019,7.83,,0,,0,0,70,79,63,,50,40,,17,23,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/16/2019,7.61,,0,,0,0,72,84,64,,230,170,,17,25.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/17/2019,4.92,,0.18,,0,0,73,77,67,,100,190,,12.1,15,1,,1,,,,1,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/18/2019,7.83,,0.86,,0,0,74,82,68,,230,230,,21.9,35.1,1,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/19/2019,4.7,,0,,0,0,76,85,68,,50,50,,13,17,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/20/2019,3.8,,0.35,,0,0,74,76,68,,70,260,,17,27.1,1,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/21/2019,6.26,,0.02,,0,0,73,83,65,,260,270,,16.1,23,,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/22/2019,10.51,,0,,0,0,71,76,64,,30,30,,19.9,25.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/23/2019,10.29,,0,,0,0,68,74,58,,30,30,,18.1,30,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/24/2019,8.05,,0,,0,0,67,75,60,,60,90,,17,23,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/25/2019,10.29,,0,,0,0,69,78,61,,100,100,,18.1,25.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/26/2019,9.62,,1.4,,0,0,70,76,64,,150,170,,19.9,28,1,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/27/2019,9.84,,0,,0,0,72,79,65,,260,240,,17,25.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/28/2019,11.63,,0,,0,0,68,75,59,,270,250,,23.9,38,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/29/2019,12.75,,0,,0,0,70,84,58,,230,250,,25.1,40,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/30/2019,5.82,,0,,0,0,70,74,59,,40,30,,13,15,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/31/2019,9.4,,0.11,,0,0,67,75,61,,110,90,,18.1,23,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/1/2019,4.47,,0.34,,0,0,67,73,62,,90,90,,14.1,17,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/2/2019,6.49,,0,,0,0,70,82,61,,230,250,,13,19.9,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/3/2019,12.3,,0.22,,0,0,72,80,67,,160,180,,30,40.9,1,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/4/2019,8.95,,0,,0,0,68,69,59,,30,50,,15,19,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/5/2019,4.92,,0,,0,0,64,74,56,,100,80,,14.1,17,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/6/2019,11.18,,0,,0,0,67,72,61,,350,330,,17,23,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/7/2019,8.28,,0,,0,0,66,78,56,,300,280,,17,23.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/8/2019,8.28,,0.03,,0,0,65,66,62,,80,60,,14.1,19,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/9/2019,7.61,,0.02,,0,0,67,76,62,,150,150,,16.1,23,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/10/2019,9.4,,0,,0,0,78,90,71,,200,200,,21.9,34,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/11/2019,9.17,,0.19,,0,0,80,89,68,,330,330,,25.9,36,1,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/12/2019,8.05,,0.28,,0,0,72,78,63,,330,70,,15,19.9,1,1,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/13/2019,11.86,,1.35,,0,0,73,77,62,,260,280,,25.9,40,1,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/14/2019,7.61,,0.06,,0,0,67,80,56,,190,190,,19.9,31.1,,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/15/2019,8.05,,0.43,,0,0,71,78,63,,200,210,,18.1,25.9,1,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/16/2019,7.83,,0,,0,0,71,74,64,,10,30,,14.1,19,1,,,,,,1,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/17/2019,6.04,,0,,0,0,69,78,65,,100,70,,13,17,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/18/2019,7.38,,0,,0,0,71,82,62,,150,160,,14.1,19,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/19/2019,5.59,,0.01,,0,0,72,83,63,,110,110,,14.1,18.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/20/2019,3.8,,0,,0,0,74,84,68,,210,210,,12.1,15,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/21/2019,12.08,,0.17,,0,0,75,78,71,,200,180,,25.1,38,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/22/2019,10.07,,1.47,,0,0,72,77,66,,210,210,,23,33.1,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/23/2019,8.95,,0,,0,0,67,74,59,,300,270,,19.9,29.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/24/2019,12.08,,0,,0,0,67,79,58,,210,210,,21,32,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/25/2019,12.75,,0,,0,0,70,79,62,,230,220,,21,32,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/26/2019,8.95,,0,,0,0,65,72,56,,280,280,,18.1,25.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/27/2019,10.51,,2.28,,0,0,63,69,58,,190,170,,23,35.1,1,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/28/2019,13.65,,0.19,,0,0,61,66,53,,30,30,,23,29.1,1,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/29/2019,7.61,,0.57,,0,0,61,66,60,,100,90,,17,23,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/30/2019,8.72,,0,,0,0,71,85,63,,200,200,,17,25.1,1,1,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/1/2019,10.07,,0,,0,0,79,86,68,,10,360,,23,33.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/2/2019,10.51,,1.76,,0,0,66,68,57,,20,30,,18.1,25.1,1,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/3/2019,10.29,,0.57,,0,0,61,67,49,,300,270,,19.9,28,1,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/4/2019,10.96,,0,,0,0,52,58,45,,20,20,,21,25.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/5/2019,9.4,,0.27,,0,0,55,63,48,,160,170,,19.9,28,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/6/2019,9.62,,0,,0,0,59,67,49,,270,290,,17,23.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/7/2019,7.38,,0,,0,0,59,69,48,,290,270,,16.1,25.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/8/2019,4.25,,0,,0,0,57,70,46,,180,230,,12.1,16.1,,,,,,,1,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/9/2019,7.83,,0,,0,0,60,70,50,,90,80,,15,19.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/10/2019,8.72,,0.19,,0,0,62,70,54,,150,160,,19.9,29.1,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/11/2019,12.3,,0.59,,0,0,60,67,39,,250,250,,21.9,32,1,,1,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/12/2019,13.87,,0,,0,0,43,54,35,,210,230,,28,38.9,,,,,,,1,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/13/2019,10.51,,0,,0,0,45,52,37,,250,240,,25.9,36.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/14/2019,6.93,,0,,0,0,45,54,37,,250,270,,15,21.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/15/2019,10.51,,0,,0,0,50,62,41,,300,300,,28,42.9,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/16/2019,14.09,,0,,0,0,49,52,41,,320,320,,29.1,40,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/17/2019,5.59,,0,,0,0,46,54,40,,350,350,,13,17,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/18/2019,6.93,,0,,0,0,47,59,38,,160,180,,16.1,19.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/19/2019,7.83,,0,,0,0,53,68,44,,200,210,,16.1,23,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/20/2019,7.38,,0,,0,0,56,63,48,,300,290,,13,17,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/21/2019,15.66,,0.05,,0,0,56,67,50,,210,230,,32,53.9,1,1,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/22/2019,17.22,,0.01,,0,0,50,51,44,,240,240,,29.1,45,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/23/2019,8.72,,0.02,,0,0,47,58,39,,350,360,,19.9,25.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/24/2019,6.26,,0,,0,0,47,50,42,,350,360,,14.1,18.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/25/2019,3.8,,0,,0,0,44,48,37,,240,300,,8.9,14.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/26/2019,12.53,,2.18,,0,0,42,48,36,,20,20,,28,36.9,1,,,,,,1,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/27/2019,9.62,,0.04,,0,0,49,58,42,,310,290,,21.9,35.1,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/28/2019,3.8,,0,,0,0,47,49,41,,90,100,,12.1,15,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/29/2019,8.28,,0.15,,0,0,40,45,35,,350,340,,23.9,31.1,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/30/2019,12.3,,0.62,,1.2,1.2,36,41,32,,10,20,,23,29.1,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/31/2019,14.99,,0.31,,3.4,0,33,33,25,,310,310,,25.1,34,1,,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/1/2019,9.62,,0.01,,0,2,31,44,23,,200,280,,19.9,29.1,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/2/2019,10.51,,0,,0,0,38,42,31,,260,250,,21.9,36,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/3/2019,7.83,,0,,0,0,39,53,30,,190,180,,23,31.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/4/2019,10.74,,0,,0,0,48,51,38,,260,260,,19.9,27.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/5/2019,7.61,,0,,0,0,38,40,30,,280,240,,19.9,30,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/6/2019,11.41,,0.01,,0,0,39,55,29,,210,200,,23.9,36,1,,,1,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/7/2019,11.18,,0,,0.1,0,28,31,20,,350,330,,19.9,27.1,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/8/2019,7.16,,0,,0,0,23,32,16,,210,210,,14.1,19,,,,,,,1,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/9/2019,10.29,,0,,0,0,34,46,27,,210,190,,18.1,25.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/10/2019,8.5,,0.04,,0,0,41,43,33,,360,360,,16.1,19,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/11/2019,16.78,,0.25,,3.4,2,28,33,13,,350,350,,25.9,33.1,1,,,,,,,1,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/12/2019,9.4,,0,,0,3.1,13,17,7,,310,300,,21,29.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/13/2019,11.63,,0,,0,2,16,27,11,,180,180,,21,31.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/14/2019,7.16,,0.01,,0.2,2,27,30,24,,250,280,,14.1,19.9,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/15/2019,6.04,,0,,0,2,27,38,22,,250,260,,12.1,16.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/16/2019,5.37,,0,,0,1.2,33,42,26,,130,120,,13,16.1,1,,,,,,1,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/17/2019,6.49,,0.04,,0,0,33,40,27,,200,200,,12.1,16.1,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/18/2019,5.14,,0,,0,0,37,40,34,,310,300,,10.1,14.1,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/19/2019,2.91,,0.01,,0,0,37,41,35,,250,220,,8.1,11,1,,,,,,1,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/20/2019,6.49,,0,,0,0,41,47,38,,170,170,,17,23.9,1,,,,,,1,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/21/2019,14.76,,0.51,,0,0,47,54,37,,250,250,,29.1,49,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/22/2019,6.71,,0,,0,0,36,38,28,,10,320,,17,23,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/23/2019,6.26,,0,,0,0,31,40,24,,240,240,,12.1,18.1,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/24/2019,9.4,,0,,0,0,38,50,32,,230,270,,16.1,23.9,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/25/2019,7.16,,0,,0,0,44,53,37,,220,220,,14.1,19.9,,,,,,,,,
