"TAIL_NUMBER","NUMBER_OF_SEATS","MANUFACTURER","MODEL",
"B708RE",9,"Pilatus","PC-12/47COMBI",
"CFEXB",0,"CESSNA","C-208B/3",
"CFEXF",0,"CESSNA","C-208B/3",
"CFEXH",0,"CESSNA","C-208B",
"CFEXI",0,"CESSNA","C-208B",
"CFEXN",0,"CESSNA","C-208B",
"CFEXO",0,"CESSNA","C-208B/3",
"CFEXW",0,"CESSNA","C-208B/3",
"CFEXX",0,"CESSNA","C-208B",
"CFMAI",0,"BOEING","757-200",
"CFMEK",0,"BOEING","757-200",
"CFMEP",0,"BOEING","757-200",
"CFMEQ",0,"BOEING","757-200",
"CFMEU",0,"BOEING","757-200",
"CFMFG",0,"BOEING","757-200",
"CFMHA",0,"BOEING","757-200",
"CFMOC",0,"BOEING","757-200",
"CFTAR",0,"ATR","ATR72",
"E981EV",50,"BOMBARDIER","CRJ-200-PSGR",
"ECKAI",0,"ATR","ATR42-300",
"EIFXA",0,"ATR","ATR42-300",
"EIFXB",0,"ATR","ATR42-300",
"EIFXC",0,"ATR","ATR42-300",
"EIFXD",0,"ATR","ATR42-300",
"EIFXE",0,"ATR","ATR42-300",
"EIFXG",0,"ATR","ATR72",
"EIFXH",0,"ATR","ATR72",
"EIFXI",0,"ATR","ATR72",
"EIFXJ",0,"ATR","ATR72",
"EIFXK",0,"ATR","ATR72",
"N10060",0,"MCDONNELLDOUGLAS","DC-10-10",
"N100CE",0,"Douglas","C-118ACARGO",
"N1013A",269,"BOEING","B767-300ER",
"N101DU",109,"AirbusIndustries","A220-100-PSGR",
"N101FE",0,"BOEING","767-3S2F",
"N101HQ",76,"Embraer","ERJ-170-200LR",
"N101NN",102,"Airbus","A321-231",
"N102DU",109,"AirbusIndustries","A220-100-PSGR",
"N102FE",0,"BOEING","767-3S2F",
"N102HQ",76,"Embraer","ERJ-170-200LR",
"N102NN",102,"Airbus","A321-231",
"N102UW",150,"Airbus","A320-214",
"N103DU",109,"AirbusIndustries","A220-100-PSGR",
"N103FE",0,"BOEING","767-3S2F",
"N103HQ",76,"Embraer","ERJ-170-200LR",
"N103NN",102,"Airbus","A321-231",
"N103SY",76,"Embraer","ERJ175",
"N103US",150,"Airbus","A320-214",
"N1049A",269,"BOEING","B767-300ER",
"N1049A",0,"BOEING","767-300",
"N104DU",109,"AirbusIndustries","A220-100-PSGR",
"N104FE",0,"BOEING","767-3S2F",
"N104HQ",76,"Embraer","ERJ-170-200LR",
"N104NN",102,"Airbus","A321-231",
"N104UW",150,"Airbus","A320-214",
"N105DU",109,"AirbusIndustries","A220-100-PSGR",
"N105FE",0,"Boeing","767-300F",
"N105HQ",76,"Embraer","ERJ-170-200LR",
"N105NN",102,"Airbus","A321-231",
"N105SY",76,"Embraer","ERJ175",
"N105UW",150,"Airbus","A320-214",
"N106DU",109,"AirbusIndustries","A220-100-PSGR",
"N106FE",0,"BOEING","767-3S2F",
"N106HQ",76,"Embraer","ERJ-170-200LR",
"N106NN",102,"Airbus","A321-231",
"N106SY",76,"Embraer","ERJ175",
"N107DU",109,"AirbusIndustries","A220-100-PSGR",
"N107FE",0,"BOEING","767-3S2F",
"N107HQ",76,"Embraer","ERJ-170-200LR",
"N107NN",102,"Airbus","A321-231",
"N107SY",76,"Embraer","ERJ175",
"N107UA",373,"BoeingCo","B747-422PAX",
"N107US",150,"Airbus","A320-214",
"N108DQ",109,"AirbusIndustries","A220-100-PSGR",
"N108FE",0,"BOEING","767-3S2F",
"N108HQ",76,"Embraer","ERJ-170-200LR",
"N108NN",102,"Airbus","A321-231",
"N108SY",76,"Embraer","ERJ175",
"N108UW",150,"Airbus","A320-214",
"N1093A",269,"BOEING","B767-300ER",
"N109DU",109,"AirbusIndustries","A220-100-PSGR",
"N109FE",0,"BOEING","767-3S2F",
"N109HQ",76,"Embraer","ERJ-170-200LR",
"N109NN",102,"Airbus","A321-231",
"N109SY",76,"Embraer","ERJ175",
"N109UW",150,"Airbus","A320-214",
"N1105G",0,"Embraer","EMB-120CARGO",
"N110AN",102,"Airbus","A321-231",
"N110DU",109,"AirbusIndustries","A220-100-PSGR",
"N110FE",0,"BOEING","767-3S2F",
"N110HQ",76,"Embraer","ERJ-170-200LR",
"N110SY",76,"Embraer","ERJ175",
"N110UW",150,"Airbus","A320-214",
"N11107",50,"Embraer","EMB-145",
"N111HQ",76,"Embraer","ERJ-170-200LR",
"N111NG",109,"AirbusIndustries","A220-100-PSGR",
"N111US",150,"Airbus","A320-214",
"N111ZM",102,"Airbus","A321-231",
"N11206",154,"BoeingCo","B737-800PAX",
"N112AN",102,"Airbus","A321-231",
"N112DU",109,"AirbusIndustries","A220-100-PSGR",
"N112FE",0,"BOEING","767-3S2F",
"N112HQ",76,"Embraer","ERJ-170-200LR",
"N112US",150,"Airbus","A320-214",
"N113AN",102,"Airbus","A321-231",
"N113DQ",109,"AirbusIndustries","A220-100-PSGR",
"N113FE",0,"BOEING","767-3S2F",
"N113HQ",76,"Embraer","ERJ-170-200LR",
"N113SY",76,"Embraer","ERJ175",
"N114DU",109,"AirbusIndustries","A220-100-PSGR",
"N114FE",0,"BOEING","767-3S2F",
"N114HQ",76,"Embraer","ERJ-170-200LR",
"N114NN",102,"Airbus","A321-231",
"N114SY",76,"Embraer","ERJ175",
"N114UW",150,"Airbus","A320-214",
"N115DU",109,"AirbusIndustries","A220-100-PSGR",
"N115FE",0,"BOEING","767-3S2F",
"N115HQ",76,"Embraer","ERJ-170-200LR",
"N115KG",12,"Dassault","DASSAULT-FALCON-900E",
"N115NN",102,"Airbus","A321-231",
"N116AN",102,"Airbus","A321-231",
"N116DU",109,"AirbusIndustries","A220-100-PSGR",
"N116HQ",76,"Embraer","ERJ-170-200LR",
"N116SY",76,"Embraer","ERJ175",
"N117AN",102,"Airbus","A321-231",
"N117DU",109,"AirbusIndustries","A220-100-PSGR",
"N117FE",0,"BOEING","767-3S2F",
"N117HQ",76,"Embraer","ERJ-170-200LR",
"N117SY",76,"Embraer","ERJ175",
"N117UW",150,"Airbus","A320-214",
"N1181A",269,"BOEING","B767-300ER",
"N118DU",109,"AirbusIndustries","A220-100-PSGR",
"N118FE",0,"BOEING","767-3S2F",
"N118HQ",76,"Embraer","ERJ-170-200LR",
"N118NN",181,"Airbus","A321-231",
"N118SY",76,"Embraer","ERJ175",
"N118US",150,"Airbus","A320-214",
"N119DU",109,"AirbusIndustries","A220-100-PSGR",
"N119FE",0,"Boeing","767-300F",
"N119HQ",76,"Embraer","ERJ-170-200LR",
"N119NN",181,"Airbus","A321-231",
"N119SY",76,"Embraer","ERJ175",
"N119US",150,"Airbus","A320-214",
"N11EA",70,"Bombardier","CL600-2C10PSGR",
"N12003",337,"BoeingCo","B787-10PAX",
"N12004",337,"BoeingCo","B787-10PAX",
"N12005",337,"BoeingCo","B787-10PAX",
"N12006",337,"BoeingCo","B787-10PAX",
"N1200K",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N1201P",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N12028",128,"Airbus","A319-115",
"N120DU",109,"AirbusIndustries","A220-100-PSGR",
"N120EE",181,"Airbus","A321-231",
"N120FE",0,"BOEING","767-3S2F",
"N120HQ",76,"Embraer","ERJ-170-200LR",
"N120SY",76,"Embraer","ERJ175",
"N120UA",373,"BoeingCo","B747-422PAX",
"N120UP",0,"Airbus","A300F4-622R",
"N12109",169,"BoeingCo","B757-200PAX",
"N12114",169,"BoeingCo","B757-200PAX",
"N12116",169,"BoeingCo","B757-200PAX",
"N12125",169,"BoeingCo","B757-200PAX",
"N12163",50,"Embraer","EMB-145",
"N12172",50,"Embraer","EMB-145",
"N1217A",269,"BOEING","B767-300ER",
"N121AN",181,"Airbus","A321-231",
"N121DU",109,"AirbusIndustries","A220-100-PSGR",
"N121FE",0,"BOEING","767-3S2F",
"N121HQ",76,"Embraer","ERJ-170-200LR",
"N121SY",76,"Embraer","ERJ175",
"N121UP",0,"Airbus","A300F4-622R",
"N121UW",150,"Airbus","A320-214",
"N12216",154,"BoeingCo","B737-800PAX",
"N12218",154,"BoeingCo","B737-800PAX",
"N12221",154,"BoeingCo","B737-800PAX",
"N12225",154,"BoeingCo","B737-800PAX",
"N12238",154,"BoeingCo","B737-800PAX",
"N1229A",269,"BOEING","B767-300ER",
"N122DU",109,"AirbusIndustries","A220-100-PSGR",
"N122FE",0,"BOEING","767-3S2F",
"N122HQ",76,"Embraer","ERJ-170-200LR",
"N122NN",181,"Airbus","A321-231",
"N122SY",76,"Embraer","ERJ175",
"N122UA",373,"BoeingCo","B747-422PAX",
"N122UP",0,"Airbus","A300F4-622R",
"N122US",150,"Airbus","A320-214",
"N123DQ",109,"AirbusIndustries","A220-100-PSGR",
"N123FE",0,"BOEING","767-3S2F",
"N123HQ",76,"Embraer","ERJ-170-200LR",
"N123NN",181,"Airbus","A321-231",
"N123UW",150,"Airbus","A320-214",
"N124AA",181,"Airbus","A321-231",
"N124DU",109,"AirbusIndustries","A220-100-PSGR",
"N124FE",0,"BOEING","767-3S2F",
"N124HQ",76,"Embraer","ERJ-170-200LR",
"N124SY",76,"Embraer","ERJ175",
"N124UP",0,"Airbus","A300F4-622R",
"N124US",150,"Airbus","A320-214",
"N12552",50,"Embraer","EMB-145",
"N125AA",181,"Airbus","A321-231",
"N125DU",109,"AirbusIndustries","A220-100-PSGR",
"N125FE",0,"BOEING","767-3S2F",
"N125HQ",76,"Embraer","ERJ-170-200LR",
"N125SY",76,"Embraer","ERJ175",
"N125UP",0,"Airbus","A300F4-622R",
"N125UW",150,"Airbus","A320-214",
"N126AN",181,"Airbus","A321-231",
"N126DU",109,"AirbusIndustries","A220-100-PSGR",
"N126FE",0,"BOEING","767-3S2F",
"N126HQ",76,"Embraer","ERJ-170-200LR",
"N126UP",0,"Airbus","A300F4-622R",
"N126UW",150,"Airbus","A320-214",
"N12754",124,"BoeingCo","B737-700PAX",
"N127AA",181,"Airbus","A321-231",
"N127DU",109,"AirbusIndustries","A220-100-PSGR",
"N127FE",0,"BOEING","767-3S2F",
"N127HQ",76,"Embraer","ERJ-170-200LR",
"N127SY",76,"Embraer","ERJ175",
"N127UP",0,"Airbus","A300F4-622R",
"N127UW",150,"Airbus","A320-214",
"N128AN",181,"Airbus","A321-231",
"N128DU",109,"AirbusIndustries","A220-100-PSGR",
"N128FE",0,"BOEING","767-3S2F",
"N128HQ",76,"Embraer","ERJ-170-200LR",
"N128SY",76,"Embraer","ERJ175",
"N128UP",0,"Airbus","A300F4-622R",
"N128UW",150,"Airbus","A320-214",
"N129AA",181,"Airbus","A321-231",
"N129FE",0,"BOEING","767-3S2F",
"N129HQ",76,"Embraer","ERJ-170-200LR",
"N129UP",0,"Airbus","A300F4-622R",
"N130AN",181,"Airbus","A321-231",
"N130FE",0,"BOEING","767-3S2F",
"N130HQ",76,"Embraer","ERJ-170-200LR",
"N130SY",76,"Embraer","ERJ175",
"N130UP",0,"Airbus","A300F4-622R",
"N13110",169,"BoeingCo","B757-200PAX",
"N13113",169,"BoeingCo","B757-200PAX",
"N13138",169,"BoeingCo","B757-200PAX",
"N131EV",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N131FE",0,"BOEING","767-3S2F",
"N131FL",0,"CONVAIR","CV340-CARGO",
"N131HQ",76,"Embraer","ERJ-170-200LR",
"N131NN",181,"Airbus","A321-231",
"N131SY",76,"Embraer","ERJ175",
"N131UP",0,"Airbus","A300F4-622R",
"N1321A",269,"BOEING","B767-300ER",
"N13227",154,"BoeingCo","B737-800PAX",
"N13248",154,"BoeingCo","B737-800PAX",
"N1327A",269,"BOEING","B767-300ER",
"N132AN",181,"Airbus","A321-231",
"N132EV",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N132FE",0,"BOEING","767-3S2F",
"N132HQ",76,"Embraer","ERJ-170-200LR",
"N132SY",76,"Embraer","ERJ175",
"N133AN",181,"Airbus","A321-231",
"N133EV",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N133FE",0,"BOEING","767-3S2F",
"N133HQ",76,"Embraer","ERJ-170-200LR",
"N133SY",76,"Embraer","ERJ175",
"N133UP",0,"Airbus","A300F4-622R",
"N134AN",181,"Airbus","A321-231",
"N134EV",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N134FE",0,"BOEING","767-3S2F",
"N134HQ",76,"Embraer","ERJ-170-200LR",
"N134SY",76,"Embraer","ERJ175",
"N134UP",0,"Airbus","A300F4-622R",
"N13550",50,"Embraer","EMB-145",
"N135EV",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N135FE",0,"BOEING","767-3S2F",
"N135HQ",76,"Embraer","ERJ-170-200LR",
"N135NN",181,"Airbus","A321-231",
"N135SY",76,"Embraer","ERJ175",
"N135UP",0,"Airbus","A300F4-622R",
"N1361A",269,"BOEING","B767-300ER",
"N136AN",181,"Airbus","A321-231",
"N136EV",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N136FE",0,"Boeing","767-300F",
"N136HQ",76,"Embraer","ERJ-170-200LR",
"N136SY",76,"Embraer","ERJ175",
"N136UP",0,"Airbus","A300F4-622R",
"N13716",124,"BoeingCo","B737-700PAX",
"N13718",124,"BoeingCo","B737-700PAX",
"N13720",124,"BoeingCo","B737-700PAX",
"N1373A",269,"BOEING","B767-300ER",
"N13750",124,"BoeingCo","B737-700PAX",
"N137AA",181,"Airbus","A321-231",
"N137EV",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N137FE",0,"BOEING","767-3S2F",
"N137HQ",76,"Embraer","ERJ-170-200LR",
"N137UP",0,"Airbus","A300F4-622R",
"N1381A",269,"BOEING","B767-300ER",
"N138AN",181,"Airbus","A321-231",
"N138EV",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N138FE",0,"BOEING","767-3S2F",
"N138HQ",76,"Embraer","ERJ-170-200LR",
"N138SY",76,"Embraer","ERJ175",
"N138UP",0,"Airbus","A300F4-622R",
"N13954",219,"BoeingCo","B787-900PAX",
"N1399A",269,"BOEING","B767-300ER",
"N139AN",181,"Airbus","A321-231",
"N139FE",0,"BOEING","767-300F",
"N139SY",76,"Embraer","ERJ175",
"N139UP",0,"Airbus","A300F4-622R",
"N14001",337,"BoeingCo","B787-10PAX",
"N14011",337,"BoeingCo","B787-10PAX",
"N1409A",269,"BOEING","B767-300ER",
"N140AN",181,"Airbus","A321-231",
"N140FE",0,"BOEING","767-300F",
"N140SY",76,"Embraer","ERJ175",
"N140UP",0,"Airbus","A300F4-622R",
"N14102",169,"BoeingCo","B757-200PAX",
"N14105",50,"Embraer","EMB-145",
"N14106",169,"BoeingCo","B757-200PAX",
"N14107",169,"BoeingCo","B757-200PAX",
"N14115",169,"BoeingCo","B757-200PAX",
"N14118",169,"BoeingCo","B757-200PAX",
"N14120",169,"BoeingCo","B757-200PAX",
"N14121",169,"BoeingCo","B757-200PAX",
"N14148",50,"Embraer","EMB-145",
"N14173",50,"Embraer","EMB-145",
"N141FE",0,"BOEING","767-300F",
"N141FL",0,"CONVAIR","CV340-CARGO",
"N141NN",181,"Airbus","A321-231",
"N141SY",76,"Embraer","ERJ175",
"N141UP",0,"Airbus","A300F4-622R",
"N14214",154,"BoeingCo","B737-800PAX",
"N14219",154,"BoeingCo","B737-800PAX",
"N14228",154,"BoeingCo","B737-800PAX",
"N14230",154,"BoeingCo","B737-800PAX",
"N14231",154,"BoeingCo","B737-800PAX",
"N14235",154,"BoeingCo","B737-800PAX",
"N14237",154,"BoeingCo","B737-800PAX",
"N14240",154,"BoeingCo","B737-800PAX",
"N14242",154,"BoeingCo","B737-800PAX",
"N14249",154,"BoeingCo","B737-800PAX",
"N14250",154,"BoeingCo","B737-800PAX",
"N1427A",269,"BOEING","B767-300ER",
"N142AN",181,"Airbus","A321-231",
"N142FE",0,"BOEING","767-300F",
"N142HC",13,"Bombardier","BD-700-1A11PSGR",
"N142SY",76,"Embraer","ERJ175",
"N142UP",0,"Airbus","A300F4-622R",
"N1439A",0,"BOEING","767-300",
"N1439A",269,"BOEING","B767-300ER",
"N143AN",181,"Airbus","A321-231",
"N143FE",0,"BOEING","767-300F",
"N143SY",76,"Embraer","ERJ175",
"N143UP",0,"Airbus","A300F4-622R",
"N144AN",181,"Airbus","A321-231",
"N144FE",0,"BOEING","767-300F",
"N144SY",76,"Embraer","ERJ175",
"N144UP",0,"Airbus","A300F4-622R",
"N14543",50,"Embraer","EMB-145",
"N14568",50,"Embraer","EMB-145",
"N145AN",181,"Airbus","A321-231",
"N145FE",0,"BOEING","767-300F",
"N145SY",76,"Embraer","ERJ175",
"N145UP",0,"Airbus","A300F4-622R",
"N146AA",181,"Airbus","A321-231",
"N146FE",0,"BOEING","767-300F",
"N146PQ",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N146SY",76,"Embraer","ERJ175",
"N146UP",0,"Airbus","A300F4-622R",
"N14704",124,"BoeingCo","B737-700PAX",
"N14731",124,"BoeingCo","B737-700PAX",
"N14735",124,"BoeingCo","B737-700PAX",
"N147AA",181,"Airbus","A321-231",
"N147FE",0,"BOEING","767-300F",
"N147PQ",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N147UP",0,"Airbus","A300F4-622R",
"N1487A",269,"BOEING","B767-300ER",
"N1489A",269,"BOEING","B767-300ER",
"N148AN",181,"Airbus","A321-231",
"N148FE",0,"BOEING","767-300F",
"N148SY",76,"Embraer","ERJ175",
"N148UP",0,"Airbus","A300F4-622R",
"N1499A",269,"BOEING","B767-300ER",
"N149AN",181,"Airbus","A321-231",
"N149FE",0,"BOEING","767-300F",
"N149SY",76,"Embraer","ERJ175",
"N149UP",0,"Airbus","A300F4-622R",
"N150FE",0,"BOEING","767-300F",
"N150NN",181,"Airbus","A321-231",
"N150SY",76,"Embraer","ERJ175",
"N150UP",0,"Airbus","A300F4-622R",
"N150UW",190,"Airbus","A321-211",
"N151",0,"Douglas","DC-6BCARGO",
"N1511A",269,"BOEING","B767-300ER",
"N151AN",181,"Airbus","A321-231",
"N151FE",0,"BOEING","767-300F",
"N151FL",0,"CONVAIR","CV340-CARGO",
"N151SY",76,"Embraer","ERJ175",
"N151UP",0,"Airbus","A300F4-622R",
"N151UW",187,"Airbus","A321-211",
"N152AA",181,"Airbus","A321-231",
"N152DL",226,"BOEINGCOMPANY","767-3P6ER-PSGR",
"N152FE",0,"BOEING","767-300F",
"N152SY",76,"Embraer","ERJ175",
"N152UP",0,"Airbus","A300F4-622R",
"N152UW",187,"Airbus","A321-211",
"N153AN",181,"Airbus","A321-231",
"N153FE",0,"BOEING","767-300F",
"N153GJ",70,"BombardierAerospace","CRJ70C",
"N153PQ",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N153SY",76,"Embraer","ERJ175",
"N153UP",0,"Airbus","A300F4-622R",
"N153UW",187,"Airbus","A321-211",
"N154AA",181,"Airbus","A321-231",
"N154DL",226,"BOEINGCOMPANY","767-3P6ER-PSGR",
"N154EA",50,"Bombardier","CL600-2B19-PSGR",
"N154FE",0,"Boeing","767-300F",
"N154SY",76,"Embraer","ERJ175",
"N154UP",0,"Airbus","A300F4-622R",
"N154UW",187,"Airbus","A321-211",
"N155DL",226,"BOEINGCOMPANY","767-3P6ER-PSGR",
"N155FE",0,"Boeing","767-300F",
"N155MW",50,"Bombardier","CL600-2B19PSGR",
"N155NN",181,"Airbus","A321-231",
"N155UW",187,"Airbus","A321-211",
"N156AN",181,"Airbus","A321-231",
"N156DL",226,"BOEINGCOMPANY","767-3P6ER-PSGR",
"N156FE",0,"Boeing","767-300F",
"N156SY",76,"Embraer","ERJ175",
"N156UP",0,"Airbus","A300F4-622R",
"N156UW",187,"Airbus","A321-211",
"N15710",124,"BoeingCo","B737-700PAX",
"N15712",124,"BoeingCo","B737-700PAX",
"N15751",124,"BoeingCo","B737-700PAX",
"N157AA",181,"Airbus","A321-231",
"N157FE",0,"Boeing","767-300F",
"N157SY",76,"Embraer","ERJ175",
"N157UP",0,"Airbus","A300F4-622R",
"N157UW",187,"Airbus","A321-211",
"N158AN",181,"Airbus","A321-231",
"N158FE",0,"Boeing","767-300F",
"N158GJ",70,"BombardierAerospace","CRJ70C",
"N158UP",0,"Airbus","A300F4-622R",
"N15969",219,"BoeingCo","B787-900PAX",
"N159AN",181,"Airbus","A321-231",
"N159FE",0,"Boeing","767-300F",
"N159UP",0,"Airbus","A300F4-622R",
"N16008",337,"BoeingCo","B787-10PAX",
"N16009",337,"BoeingCo","B787-10PAX",
"N1602",226,"BOEINGCOMPANY","767-3P6ER-PSGR",
"N1603",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N1604R",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N1605",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N16065",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N1607B",208,"BOEINGCOMPANY","767-332ER-PSGR",
"N1608",208,"BOEINGCOMPANY","767-332ER-PSGR",
"N1609",208,"BOEINGCOMPANY","767-332ER-PSGR",
"N160AN",181,"Airbus","A321-231",
"N160FE",0,"Boeing","767-300F",
"N160SY",76,"Embraer","ERJ175",
"N160UP",0,"Airbus","A300F4-622R",
"N1610D",208,"BOEINGCOMPANY","767-332ER-PSGR",
"N1611B",208,"BOEINGCOMPANY","767-332ER-PSGR",
"N1612T",208,"BOEINGCOMPANY","767-332ER-PSGR",
"N1613B",208,"BOEINGCOMPANY","767-332ER-PSGR",
"N16149",50,"Embraer","EMB-145",
"N16178",50,"Embraer","EMB-145",
"N1619A",269,"BOEING","B767-300ER",
"N161AA",181,"Airbus","A321-231",
"N161FE",0,"Boeing","767-300F",
"N161PQ",76,"Bombardier","CRJ900-2D24",
"N161SY",76,"Embraer","ERJ175",
"N161UP",0,"Airbus","A300F4-622R",
"N161UW",190,"Airbus","A321-211",
"N16217",154,"BoeingCo","B737-800PAX",
"N16234",154,"BoeingCo","B737-800PAX",
"N162AA",181,"Airbus","A321-231",
"N162FE",0,"Boeing","767-300F",
"N162PQ",76,"Bombardier","CRJ900-2D24",
"N162SY",76,"Embraer","ERJ175",
"N162UP",0,"Airbus","A300F4-622R",
"N162UW",190,"Airbus","A321-211",
"N163AA",181,"Airbus","A321-231",
"N163FE",0,"Boeing","767-300F",
"N163SY",76,"Embraer","ERJ175",
"N163UP",0,"Airbus","A300F4-622R",
"N163US",187,"Airbus","A321-211",
"N164FE",0,"Boeing","767-300F",
"N164NN",181,"Airbus","A321-231",
"N164SY",76,"Embraer","ERJ175",
"N164UP",0,"Airbus","A300F4-622R",
"N1651M",0,"Curtiss","C-46RCARGO",
"N165FE",0,"Boeing","767-300F",
"N165NN",181,"Airbus","A321-231",
"N165SY",76,"Embraer","ERJ175",
"N165UP",0,"Airbus","A300F4-622R",
"N165US",187,"Airbus","A321-211",
"N166FE",0,"Boeing","767-300F",
"N166NN",181,"Airbus","A321-231",
"N166PQ",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N166SY",76,"Embraer","ERJ175",
"N166UP",0,"Airbus","A300F4-622R",
"N16701",124,"BoeingCo","B737-700PAX",
"N16703",124,"BoeingCo","B737-700PAX",
"N16709",124,"BoeingCo","B737-700PAX",
"N16713",124,"BoeingCo","B737-700PAX",
"N16732",124,"BoeingCo","B737-700PAX",
"N167AN",181,"Airbus","A321-231",
"N167FE",0,"Boeing","767-300F",
"N167SY",76,"Embraer","ERJ175",
"N167UP",0,"Airbus","A300F4-622R",
"N167US",187,"Airbus","A321-211",
"N168FE",0,"Boeing","767-300F",
"N168SY",76,"Embraer","ERJ175",
"N168UP",0,"Airbus","A300F4-622R",
"N169DZ",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N169FE",0,"Boeing","767-300F",
"N169GJ",50,"BombardierAerospace","CRJ550",
"N169UP",0,"Airbus","A300F4-622R",
"N169UW",187,"Airbus","A321-211",
"N17002",337,"BoeingCo","B787-10PAX",
"N1709A",269,"BOEING","B767-300ER",
"N170FE",0,"Boeing","767-300F",
"N170PQ",76,"Bombardier","CRJ900-2D24",
"N170SY",76,"Embraer","ERJ175",
"N170UP",0,"Airbus","A300F4-622R",
"N170US",187,"Airbus","A321-211",
"N17104",169,"BoeingCo","B757-200PAX",
"N17105",169,"BoeingCo","B757-200PAX",
"N17122",169,"BoeingCo","B757-200PAX",
"N17126",169,"BoeingCo","B757-200PAX",
"N17128",169,"BoeingCo","B757-200PAX",
"N17133",169,"BoeingCo","B757-200PAX",
"N17139",169,"BoeingCo","B757-200PAX",
"N171DN",211,"BOEINGCOMPANY","767-332ER-PSGR",
"N171DZ",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N171FL",0,"CONVAIR","CV440-CARGO",
"N171SY",76,"Embraer","ERJ175",
"N171UP",0,"Airbus","A300F4-622R",
"N171US",187,"Airbus","A321-211",
"N17229",154,"BoeingCo","B737-800PAX",
"N17233",154,"BoeingCo","B737-800PAX",
"N17244",154,"BoeingCo","B737-800PAX",
"N17245",154,"BoeingCo","B737-800PAX",
"N172AJ",176,"Boeing","B757-223",
"N172DN",211,"BOEINGCOMPANY","767-332ER-PSGR",
"N172DZ",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N172FE",0,"Boeing","767-300F",
"N172UP",0,"Airbus","A300F4-622R",
"N172US",187,"Airbus","A321-211",
"N173AN",176,"Boeing","B757-223",
"N173DZ",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N173FE",0,"Boeing","767-300F",
"N173GJ",70,"BombardierAerospace","CRJ70C",
"N173SY",76,"Embraer","ERJ175",
"N173UP",0,"Airbus","A300F4-622R",
"N173US",187,"Airbus","A321-211",
"N174DN",211,"BOEINGCOMPANY","767-332ER-PSGR",
"N174DZ",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N174FE",0,"Boeing","767-300F",
"N174SY",76,"Embraer","ERJ175",
"N174UP",0,"Airbus","A300F4-622R",
"N174US",187,"Airbus","A321-211",
"N1759C",14,"Gulfstream","G550",
"N175AN",176,"Boeing","B757-223",
"N175DN",211,"BOEINGCOMPANY","767-332ER-PSGR",
"N175DZ",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N175FE",0,"Boeing","767-300F",
"N175SY",76,"Embraer","ERJ175",
"N176AA",176,"Boeing","B757-223",
"N176CA",170,"Boeing","757-28A",
"N176DN",211,"BOEINGCOMPANY","767-332ER-PSGR",
"N176DZ",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N176FE",0,"Boeing","767-300F",
"N176PQ",76,"BOMBARDIER","CRJ-900LR-PSGR",
"N176SY",76,"Embraer","ERJ175",
"N176UW",187,"Airbus","A321-211",
"N17719",124,"BoeingCo","B737-700PAX",
"N17730",124,"BoeingCo","B737-700PAX",
"N17752",124,"BoeingCo","B737-700PAX",
"N17753",124,"BoeingCo","B737-700PAX",
"N177AN",176,"Boeing","B757-223",
"N177DN",211,"BOEINGCOMPANY","767-332ER-PSGR",
"N177DZ",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N177FE",0,"Boeing","767-300F",
"N177SY",76,"Embraer","ERJ175",
"N177US",187,"Airbus","A321-211",
"N177XF",128,"Airbus","A319-112",
"N178DN",211,"BOEINGCOMPANY","767-332ER-PSGR",
"N178DZ",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N178FE",0,"Boeing","767-300F",
"N178JB",100,"Embraer","E190-100",
"N178SY",76,"Embraer","ERJ175",
"N178US",187,"Airbus","A321-211",
"N17963",219,"BoeingCo","B787-900PAX",
"N179DN",211,"BOEINGCOMPANY","767-332ER-PSGR",
"N179FE",0,"Boeing","767-300F",
"N179JB",100,"Embraer","E190-100",
"N179SY",76,"Embraer","ERJ175",
"N179UW",187,"Airbus","A321-211",
"N180DN",226,"BOEINGCOMPANY","767-332ER-PSGR",
"N180FE",0,"Boeing","767-300F",
