"TAIL_NUMBER","NUMBER_OF_SEATS","MANUFACTURER","MODEL",
"N408WN",143,"THEBOEINGCO","B-737-7H4",
"N408YX",76,"Embraer","ERJ-170-200LR",
"N409AA",196,"Airbus","A321-253NX",
"N409AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N409AZ",0,"BOEING","767-300",
"N409LC",0,"Lockheed","L-382G",
"N409MC",0,"BOEING","B747-400",
"N409UA",142,"AirbusIndustries","AirbusA320-232",
"N409UP",0,"Boeing","757-24APF",
"N409WN",143,"THEBOEINGCO","B-737-7H4",
"N409YX",76,"Embraer","ERJ-170-200LR",
"N410AN",196,"Airbus","A321-253NX",
"N410UA",142,"AirbusIndustries","AirbusA320-232",
"N410UP",0,"Boeing","757-24APF",
"N410WN",143,"THEBOEINGCO","B-737-7H4",
"N410YX",76,"Embraer","ERJ-170-200LR",
"N41135",169,"BoeingCo","B757-200PAX",
"N41140",169,"BoeingCo","B757-200PAX",
"N411SN",0,"McDonnelDouglas","MD11-F",
"N411UA",142,"AirbusIndustries","AirbusA320-232",
"N411UP",0,"Boeing","757-24APF",
"N411WN",143,"THEBOEINGCO","B-737-7H4",
"N411YX",76,"Embraer","ERJ-170-200LR",
"N412MC",0,"BOEING","B747-400",
"N412QX",70,"DeHavilland","DHC8-400",
"N412SN",0,"McDonnelDouglas","MD11-F",
"N412UA",142,"AirbusIndustries","AirbusA320-232",
"N412UP",0,"Boeing","757-24APF",
"N412UW",196,"Airbus","A321-253NX",
"N412WN",143,"THEBOEINGCO","B-737-7H4",
"N412YX",76,"Embraer","ERJ-170-200LR",
"N413AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N413UA",142,"AirbusIndustries","AirbusA320-232",
"N413UP",0,"Boeing","757-24APF",
"N413WN",143,"THEBOEINGCO","B-737-7H4",
"N413YX",76,"Embraer","ERJ-170-200LR",
"N414UA",142,"AirbusIndustries","AirbusA320-232",
"N414UP",0,"Boeing","757-24APF",
"N414WN",143,"THEBOEINGCO","B-737-7H4",
"N414YX",76,"Embraer","ERJ-170-200LR",
"N415JN",0,"McDonnelDouglas","MD11-F",
"N415MC",0,"BOEING","B747-400",
"N415UA",142,"AirbusIndustries","AirbusA320-232",
"N415UP",0,"Boeing","757-24APF",
"N415WN",143,"THEBOEINGCO","B-737-7H4",
"N415YX",76,"Embraer","ERJ-170-200LR",
"N416MC",0,"BOEING","B747-400",
"N416MC",0,"BOEING","B747-400",
"N416UA",142,"AirbusIndustries","AirbusA320-232",
"N416UP",0,"Boeing","757-24APF",
"N416WN",143,"THEBOEINGCO","B-737-7H4",
"N416YX",76,"Embraer","ERJ-170-200LR",
"N417QX",70,"DeHavilland","DHC8-400",
"N417SW",50,"Bombardier","CRJ200-2B19",
"N417UA",142,"AirbusIndustries","AirbusA320-232",
"N417UP",0,"Boeing","757-24APF",
"N417WN",143,"THEBOEINGCO","B-737-7H4",
"N417YX",76,"Embraer","ERJ-170-200LR",
"N418MC",0,"BOEING","B747-400",
"N418SW",50,"Bombardier","CRJ200-2B19",
"N418UA",142,"AirbusIndustries","AirbusA320-232",
"N418UP",0,"Boeing","757-24APF",
"N418WN",143,"THEBOEINGCO","B-737-7H4",
"N418YX",76,"Embraer","ERJ-170-200LR",
"N419AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N419AZ",0,"BOEING","767-300",
"N419MC",0,"BOEING","B747-400",
"N419UA",142,"AirbusIndustries","AirbusA320-232",
"N419UP",0,"Boeing","757-24APF",
"N419WN",143,"THEBOEINGCO","B-737-7H4",
"N419YX",76,"Embraer","ERJ-170-200LR",
"N420UA",142,"AirbusIndustries","AirbusA320-232",
"N420UP",0,"Boeing","757-24APF",
"N420WN",143,"THEBOEINGCO","B-737-7H4",
"N420YX",76,"Embraer","ERJ-170-200LR",
"N421LV",143,"THEBOEINGCO","B-737-7H4",
"N421QX",70,"DeHavilland","DHC8-400",
"N421UA",142,"AirbusIndustries","AirbusA320-232",
"N421UP",0,"Boeing","757-24APF",
"N421YX",76,"Embraer","ERJ-170-200LR",
"N422QX",70,"DeHavilland","DHC8-400",
"N422UA",142,"AirbusIndustries","AirbusA320-232",
"N422UP",0,"Boeing","757-24APF",
"N422WN",143,"THEBOEINGCO","B-737-7H4",
"N422YX",76,"Embraer","ERJ-170-200LR",
"N423AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N423AX",98,"Boeing","BoeingB767-324ERPAX",
"N423QX",70,"DeHavilland","DHC8-400",
"N423SW",50,"Bombardier","CRJ200-2B19",
"N423UA",142,"AirbusIndustries","AirbusA320-232",
"N423UP",0,"Boeing","757-24APF",
"N423WN",143,"THEBOEINGCO","B-737-7H4",
"N423YX",76,"Embraer","ERJ-170-200LR",
"N424UA",142,"AirbusIndustries","AirbusA320-232",
"N424UP",0,"Boeing","757-24APF",
"N424WN",143,"THEBOEINGCO","B-737-7H4",
"N424YX",76,"Embraer","ERJ-170-200LR",
"N425LV",143,"THEBOEINGCO","B-737-7H4",
"N425UA",142,"AirbusIndustries","AirbusA320-232",
"N425UP",0,"Boeing","757-24APF",
"N425YX",76,"Embraer","ERJ-170-200LR",
"N426QX",70,"DeHavilland","DHC8-400",
"N426SW",50,"Bombardier","CRJ200-2B19",
"N426UA",142,"AirbusIndustries","AirbusA320-232",
"N426UP",0,"Boeing","757-24APF",
"N426WN",143,"THEBOEINGCO","B-737-7H4",
"N426YX",76,"Embraer","ERJ-170-200LR",
"N427QX",70,"DeHavilland","DHC8-400",
"N427SW",50,"Bombardier","CRJ200-2B19",
"N427UA",142,"AirbusIndustries","AirbusA320-232",
"N427UP",0,"Boeing","757-24APF",
"N427WN",143,"THEBOEINGCO","B-737-7H4",
"N427YX",76,"Embraer","ERJ-170-200LR",
"N428AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N428UA",142,"AirbusIndustries","AirbusA320-232",
"N428UP",0,"Boeing","757-24APF",
"N428WN",143,"THEBOEINGCO","B-737-7H4",
"N428YX",76,"Embraer","ERJ-170-200LR",
"N429MC",0,"BOEING","B747-400BCF",
"N429QX",70,"DeHavilland","DHC8-400",
"N429SW",50,"Bombardier","CRJ200-2B19",
"N429UA",142,"AirbusIndustries","AirbusA320-232",
"N429UP",0,"Boeing","757-24APF",
"N429WN",143,"THEBOEINGCO","B-737-7H4",
"N429YX",76,"Embraer","ERJ-170-200LR",
"N430QX",70,"DeHavilland","DHC8-400",
"N430SW",50,"Bombardier","CRJ200-2B19",
"N430UA",142,"AirbusIndustries","AirbusA320-232",
"N430UP",0,"Boeing","757-24APF",
"N430WN",143,"THEBOEINGCO","B-737-7H4",
"N430YX",76,"Embraer","ERJ-170-200LR",
"N431AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N431SW",50,"Bombardier","CRJ200-2B19",
"N431UA",142,"AirbusIndustries","AirbusA320-232",
"N431UP",0,"Boeing","757-24APF",
"N431WN",143,"THEBOEINGCO","B-737-7H4",
"N431YX",76,"Embraer","ERJ-170-200LR",
"N432AX",243,"Boeing","BoeingB767-323ERPAX",
"N432QX",70,"DeHavilland","DHC8-400",
"N432SW",50,"Bombardier","CRJ200-2B19",
"N432UA",142,"AirbusIndustries","AirbusA320-232",
"N432UP",0,"Boeing","757-24APF",
"N432WN",143,"THEBOEINGCO","B-737-7H4",
"N432YX",76,"Embraer","ERJ-170-200LR",
"N433AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N433LV",143,"THEBOEINGCO","B-737-7H4",
"N433QX",70,"DeHavilland","DHC8-400",
"N433SW",50,"Bombardier","CRJ200-2B19",
"N433UA",142,"AirbusIndustries","AirbusA320-232",
"N433UP",0,"Boeing","757-24APF",
"N433YX",76,"Embraer","ERJ-170-200LR",
"N434AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N434MK",70,"DeHavilland","DHC8-400",
"N434UA",142,"AirbusIndustries","AirbusA320-232",
"N434UP",0,"Boeing","757-24APF",
"N434WN",143,"THEBOEINGCO","B-737-7H4",
"N434YX",76,"Embraer","ERJ-170-200LR",
"N435AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N435KD",0,"McDonnelDouglas","MD11-F",
"N435QX",70,"DeHavilland","DHC8-400",
"N435SW",50,"Bombardier","CRJ200-2B19",
"N435UA",142,"AirbusIndustries","AirbusA320-232",
"N435UP",0,"Boeing","757-24APF",
"N435WN",143,"THEBOEINGCO","B-737-7H4",
"N435YX",76,"Embraer","ERJ-170-200LR",
"N436QX",70,"DeHavilland","DHC8-400",
"N436UA",142,"AirbusIndustries","AirbusA320-232",
"N436UP",0,"Boeing","757-24APF",
"N436WN",143,"THEBOEINGCO","B-737-7H4",
"N436YX",76,"Embraer","ERJ-170-200LR",
"N437QX",70,"DeHavilland","DHC8-400",
"N437SW",50,"Bombardier","CRJ200-2B19",
"N437UA",142,"AirbusIndustries","AirbusA320-232",
"N437UP",0,"Boeing","757-24APF",
"N437WN",143,"THEBOEINGCO","B-737-7H4",
"N437YX",76,"Embraer","ERJ-170-200LR",
"N438QX",70,"DeHavilland","DHC8-400",
"N438SW",50,"Bombardier","CRJ200-2B19",
"N438UA",142,"AirbusIndustries","AirbusA320-232",
"N438UP",0,"Boeing","757-24APF",
"N438WN",143,"THEBOEINGCO","B-737-7H4",
"N438YX",76,"Embraer","ERJ-170-200LR",
"N439QX",70,"DeHavilland","DHC8-400",
"N439SW",50,"Bombardier","CRJ200-2B19",
"N439UA",142,"AirbusIndustries","AirbusA320-232",
"N439UP",0,"Boeing","757-24APF",
"N439WN",143,"THEBOEINGCO","B-737-7H4",
"N439YX",76,"Embraer","ERJ-170-200LR",
"N43FE",0,"Bombardier","CHAL-300",
"N440AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N440LV",143,"THEBOEINGCO","B-737-7H4",
"N440QX",70,"DeHavilland","DHC8-400",
"N440SW",50,"Bombardier","CRJ200-2B19",
"N440UA",142,"AirbusIndustries","AirbusA320-232",
"N440UP",0,"Boeing","757-24APF",
"N440YX",76,"Embraer","ERJ-170-200LR",
"N441AX",98,"Boeing","BoeingB767-36NERPAX",
"N441QX",70,"DeHavilland","DHC8-400",
"N441SW",50,"Bombardier","CRJ200-2B19",
"N441UA",142,"AirbusIndustries","AirbusA320-232",
"N441UP",0,"Boeing","757-24APF",
"N441WN",143,"THEBOEINGCO","B-737-7H4",
"N441YX",76,"Embraer","ERJ-170-200LR",
